dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,3,0.48402199149131775,0.005673734224259653,0.3910521779208983,0.46665578087170917,0.017366210619608562,0.6666666666666666,0.6973793109258016,0.04062112048268318,0.04633464912573496,0.06659235556920369,0.0315092404683431,0.3805416226387024,0.3721301754315694,6.01115616162618,0.5279016196727753,0.3598589201768239,-0.10370779986931611,-0.687292736111244,-0.5891288615913142,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_constant,3,0.4789591133594513,0.0009076917053439583,0.38344093364444104,0.46665578087170917,0.012303332487742106,0.6666666666666666,0.7160234649976095,0.05814929058154424,0.06856394559144974,0.09989009300867717,0.03989205757776896,0.4905637502670288,0.5391807953516642,7.655624707539876,0.5097019175688425,0.4598747293154399,0.04397841243824379,-0.2063205656527224,nan,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_shuffled,3,0.47787031531333923,0.0011548236491984965,0.3809237392365223,0.46665578087170917,0.011214534441630045,0.6666666666666666,0.7139989137649536,0.06121720001101494,0.0700604369242986,0.09990060329437256,0.04910102734963099,0.5893028775850931,0.5828404029210409,7.577940781911214,0.539826512336731,0.4569644629955292,0.07254244679419602,-0.13873165246863745,-0.2396321213511358,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,3,0.4832598368326823,0.0010667925583403702,0.3906237144699428,0.46665578087170917,0.016604055960973103,0.6666666666666666,0.7176743944485983,0.06130976974964142,0.07351696987946828,0.09990298748016357,0.04725000883142153,0.5618447363376617,0.581461509068807,7.696016311645508,0.5407120784123739,0.459057221810023,0.022990823258739506,-0.28001219495334073,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,feature_only,3,0.4803200960159302,0.0008111214742374155,0.3860185743179829,0.46665578087170917,0.013664315144220987,0.6666666666666666,0.7162347237269083,0.059752980868021645,0.07051791995763779,0.09990708033243816,0.04374228542049726,0.5364096065362295,0.5568649570147196,7.542914231618245,0.5773297746976217,0.44386474291483563,0.03733312984151508,-0.26620383305130274,nan,260997.0,156544.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,3,0.47618268926938373,0.0067077785833464625,0.3695391921487733,0.46665578087170917,0.00952690839767456,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,3,0.47433175643285114,0.007121812318216698,0.36480518055673716,0.46665578087170917,0.007675975561141968,0.6666666666666666,0.6936328212420145,0.04047707840800285,0.043771746257940926,0.06656938791275024,0.02606773003935814,0.33085660139719647,0.31327171127001446,5.909065008163452,0.529699832201004,0.3431403736273448,-0.21768178931834398,-0.6372833126857154,-0.5474442823773097,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,3,0.4797212580839793,0.002851721608347531,0.38720491252227646,0.46665578087170917,0.013065477212270101,0.6666666666666666,0.7151766419410706,0.05906973406672478,0.06858506798744202,0.09993080298105876,0.04107515141367912,0.499397873878479,0.5479059318701426,7.544672171274821,0.5569534202416738,0.4436082641283671,0.05440546544112412,-0.11937732657725383,-0.3096747885128551,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,3,0.4706843098004659,0.005431416743900548,0.3675770656043398,0.46665578087170917,0.004028528928756714,0.6666666666666666,0.6668732265631357,0.017183002705375355,0.016048381725947063,0.02853513757387797,0.01592761588593324,0.194501926501592,0.13567110896110535,4.809782902399699,0.49275729060173035,0.21620984375476837,-0.4307120391929115,-0.5872078015192188,-0.5970005872599751,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,combined_constant,3,0.4711742599805196,0.004424697566699542,0.36832215789444395,0.46665578087170917,0.004518479108810425,0.6666666666666666,0.6673604647318522,0.018323549379905064,0.01754246714214484,0.028240442276000977,0.01599782705307007,0.19543487826983133,0.14845180014769235,4.953428347905477,0.48460272947947186,0.22085883716742197,-0.19313528575576,-0.29999827366021736,nan,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,combined_shuffled,3,0.4705209930737813,0.005486790288965493,0.36918349912332427,0.46665578087170917,0.0038652122020721436,0.6666666666666666,0.6675131320953369,0.024655680482586224,0.02317868173122406,0.03543629248936971,0.018888040135304134,0.23174708088239035,0.18338881929715475,5.207077662150065,0.49722596009572345,0.2490367889404297,-0.23126886274937855,-0.16818035909271162,-0.18738364531360976,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,3,0.469541072845459,0.0059351625236927965,0.36534289673463466,0.46665578087170917,0.0028852919737497964,0.6666666666666666,0.6667716403802236,0.016051284968852997,0.014800820499658585,0.028520315885543823,0.015926329419016838,0.19247893492380777,0.11755622426668803,4.254939158757527,0.4834793706734975,0.19895040492216745,-0.20727901627582748,-0.34649782331428153,nan,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,feature_only,3,0.46992214520772296,0.005734534426265799,0.3654974483177701,0.46665578087170917,0.003266364336013794,0.6666666666666666,0.6668400168418884,0.01625465787947178,0.0149287482102712,0.029186179240544636,0.016148751601576805,0.1960346301396688,0.11995422840118408,4.288640817006429,0.4889187018076579,0.20253190894921622,-0.24609815488502673,-0.3244937476938673,nan,166144.0,156544.0,0.0
Amazon-ratings,iterative_relation_frozen,fixed,3,0.46665578087170917,0.008611430976299812,0.35702417410472903,0.46665578087170917,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen,reliability_only,3,0.46828895807266235,0.0058069347498703894,0.36479227065176956,0.46665578087170917,0.0016331772009531658,0.6666666666666666,0.6661676267782847,0.016642965842038393,0.014255955970535675,0.032940914233525596,0.017996531445533037,0.21690955013036728,0.11134422073761623,4.0817757447560625,0.49162150422732037,0.1989597131808599,-0.09595588518153993,-0.35666098888819253,-0.3361725900836774,166144.0,157568.0,0.0
Amazon-ratings,iterative_relation_frozen,shuffled_reliability,3,0.4688333570957184,0.006290536382274142,0.36494914105571846,0.46665578087170917,0.002177576224009196,0.6666666666666666,0.666381041208903,0.015342134361465773,0.01356926498313745,0.028725167115529377,0.016035011038184166,0.19366631905237833,0.10543358325958252,4.110701322555542,0.4906146128972371,0.20105224351088205,-0.17872813959148925,-0.2291538347721239,-0.28373790973404367,166144.0,157568.0,0.0
Cora,iterative_relation_finetune,combined,3,0.6943333745002747,0.0024944326929822722,0.6773605945382858,0.6823333501815796,0.012000024318695068,0.8333333333333334,0.8298216462135315,0.018504991196095943,0.014375890760372082,0.05919353167215983,0.004355313489213586,0.06262091795603435,0.09474030137062073,4.771439552307129,0.5169179240862528,0.18925368785858154,0.03282363217372212,0.23460137351952942,-0.035372819348392696,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,combined_constant,3,0.6950000325838724,0.0045460544820757265,0.6772058240839418,0.6823333501815796,0.012666682402292887,0.8333333333333334,0.8290435274442037,0.02492172426233689,0.019807351597895224,0.06960630416870117,0.005933498342831929,0.08661803603172302,0.13602148741483688,5.566665490468343,0.5272939602533976,0.22486255566279092,-0.0830346411909266,-0.18563525311328996,nan,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,combined_shuffled,3,0.6916666825612386,0.007586541374103053,0.6751882940467954,0.6823333501815796,0.009333332379659018,0.8333333333333334,0.8293998042742411,0.02103639083604018,0.016978906312336523,0.06259648005167644,0.005105746172678967,0.07239288836717606,0.11742669840653737,5.170113722483317,0.5198118289311727,0.20203357438246408,-0.07096362556799535,-0.1826986993770782,0.13771827727091523,333639.0,166144.0,167495.0
Cora,iterative_relation_finetune,constant_reliability,3,0.6860000292460123,0.00993309374357741,0.6666649062229867,0.6823333501815796,0.00366667906443278,0.8333333333333334,0.8271769881248474,0.02670222582916419,0.020411728881299496,0.07717857758204143,0.007865262062599262,0.11303942898909251,0.11378835141658783,5.1639580726623535,0.531572421391805,0.21120014290014902,-0.1514890791033628,-0.4286528592499883,nan,333639.0,157568.0,167495.0
Cora,iterative_relation_finetune,feature_only,3,0.6836667060852051,0.008013886069558412,0.6646216819589463,0.6823333501815796,0.0013333559036254883,0.8333333333333334,0.8303304115931193,0.013787508321305117,0.010675117994348208,0.05161998669306437,0.003133694175630808,0.04543140282233556,0.1003650426864624,3.748429536819458,0.5021598835786184,0.13775613407293955,-0.10050938181669003,-0.2647676235552806,nan,333639.0,156544.0,167495.0
Cora,iterative_relation_finetune,fixed,3,0.7053333719571432,0.015282539668644957,0.6863633302592623,0.6823333501815796,0.023000021775563557,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,167495.0,0.0,167495.0
Cora,iterative_relation_finetune,reliability_only,3,0.6800000270207723,0.010708236862135389,0.6627473360972452,0.6823333501815796,-0.0023333231608072915,0.8333333333333334,0.8303465247154236,0.016606126601497333,0.011649699105570713,0.0643297831217448,0.004904740024358034,0.07128040368358295,0.07696744799613953,3.893562078475952,0.5069799224535624,0.1468749145666758,0.03384751086486868,-0.02591219586834402,-0.30669826316693943,333639.0,157568.0,167495.0
Cora,iterative_relation_finetune,shuffled_reliability,3,0.687333365281423,0.00590668976149313,0.6702877735536189,0.6823333501815796,0.005000015099843343,0.8333333333333334,0.8302585482597351,0.01752774262179931,0.012524420395493507,0.06497665246327718,0.005600552850713332,0.08350459237893422,0.05678794408837954,4.052774111429851,0.5104357798894247,0.15524022777875265,-0.048499741141735477,-0.14803828009329323,0.45996828854448624,333639.0,157568.0,167495.0
Cora,iterative_relation_frozen,combined,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.9770370324452717,0.49569172660509747,0.09149505446354549,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,combined_constant,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.9664377371470134,0.4962361554304759,0.09057805438836415,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,combined_shuffled,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.9784191449483235,0.49569742878278095,0.09140998870134354,nan,nan,nan,166144.0,166144.0,0.0
Cora,iterative_relation_frozen,constant_reliability,3,0.6816666722297668,0.00946338034369687,0.6723230941412716,0.6823333501815796,-0.0006666779518127441,0.8333333333333334,0.8306536674499512,0.0031481015806396804,0.002679649740457535,0.016188085079193115,0.000977151095867157,0.017677418887615204,0.06789061923821767,1.9238979816436768,0.49747798840204877,0.07281932979822159,-0.11230885122620672,-0.265885604384579,nan,166144.0,157568.0,0.0
Cora,iterative_relation_frozen,feature_only,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.6001804669698079,0.49526365598042804,0.07430627942085266,nan,nan,nan,166144.0,156544.0,0.0
Cora,iterative_relation_frozen,fixed,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Cora,iterative_relation_frozen,reliability_only,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.5900295575459797,0.4968724151452382,0.07256632298231125,nan,nan,nan,166144.0,157568.0,0.0
Cora,iterative_relation_frozen,shuffled_reliability,3,0.6823333501815796,0.009392668885480371,0.6727906088289375,0.6823333501815796,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.5919227997461955,0.49687575300534564,0.07252132892608643,nan,nan,nan,166144.0,157568.0,0.0
Pubmed,iterative_relation_finetune,combined,3,0.7393333713213602,0.011145515114122385,0.7394278619626993,0.7376667062441508,0.0016666650772094727,0.8333333333333334,0.8318539063135783,0.003181501912573973,0.0014794285719593365,0.024458646774291992,0.0005331130620713035,0.011838907996813456,0.021719674269358318,2.8001530170440674,0.4982619782288869,0.12417964388926823,0.03632807759945058,-0.2059198082087271,-0.20523416404470665,273667.0,166144.0,107523.0
Pubmed,iterative_relation_finetune,combined_constant,3,0.740333358446757,0.012552108161030365,0.7408838849877768,0.7376667062441508,0.002666652202606201,0.8333333333333334,0.8312271038691202,0.004508924049635728,0.0021062404848635197,0.028636058171590168,0.0007119431781272093,0.015193497141202291,0.051470850904782615,3.049148996671041,0.5000459849834442,0.14004273960987726,-0.07448111298847222,-0.08605477999865416,nan,273667.0,166144.0,107523.0
Pubmed,iterative_relation_finetune,combined_shuffled,3,0.7393333713213602,0.011145515114122385,0.7394896389633916,0.7376667062441508,0.0016666650772094727,0.8333333333333334,0.831604540348053,0.0029853141556183496,0.0017288064894576867,0.02416714032491048,0.0005488245903203884,0.010374878843625387,0.01840675746401151,2.657026489575704,0.5036577582359314,0.11874114722013474,-0.05113724642171775,-0.10917057210377334,0.2921639741860879,273667.0,166144.0,107523.0
Pubmed,iterative_relation_finetune,constant_reliability,3,0.7393333713213602,0.011145515114122385,0.7394674335206284,0.7376667062441508,0.0016666650772094727,0.8333333333333334,0.8307302594184875,0.005690041308601697,0.002603068326910337,0.026080091794331867,0.0013073327330251534,0.026287267605463665,0.028730655709902447,2.361412445704142,0.4990339974562327,0.1022333304087321,0.014929614347448251,0.005752873570978259,nan,273667.0,157568.0,107523.0
Pubmed,iterative_relation_finetune,feature_only,3,0.7406666874885559,0.012364821866913588,0.743958981395123,0.7376667062441508,0.002999981244405111,0.8333333333333334,0.8299631476402283,0.0102447255825003,0.0070024992649753886,0.04906219244003296,0.00253508472815156,0.03841011474529902,0.07804160192608833,3.0018372535705566,0.5042289197444916,0.14017936090628305,0.061972303839855206,-0.05234879949617993,nan,273667.0,156544.0,107523.0
Pubmed,iterative_relation_finetune,fixed,3,0.7396667003631592,0.011614174308478801,0.7416231914051643,0.7376667062441508,0.0019999941190083823,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,107523.0,0.0,107523.0
