dataset,router,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses
Amazon-ratings,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,0.0006369411945343018,-0.0006540293571389335,0.0019279117462075372,2,6,2
Amazon-ratings,node_feature_only,utility routing - validation-selected fixed alpha,10,0.0010452389717102051,-0.001046294955798809,0.0031367728992192194,2,6,2
Amazon-ratings,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,0.0006369411945343018,-0.0006540293571389335,0.0019279117462075372,2,6,2
Amazon-ratings,combined,utility routing - validation-selected best expert,10,4.899203777313233e-05,-0.0007122563176265943,0.000810240393172859,1,4,5
Amazon-ratings,combined,utility-checkpoint routing - validation-selected best expert,10,0.00016331374645233153,-0.0005547743128973435,0.0008814018058020065,1,6,3
Amazon-ratings,combined,utility routing - validation-selected fixed alpha,10,4.899203777313233e-05,-0.0007122563176265943,0.000810240393172859,1,4,5
Amazon-ratings,combined,utility-checkpoint routing - validation-selected fixed alpha,10,0.00016331374645233153,-0.0005547743128973435,0.0008814018058020065,1,6,3
Minesweeper,reliability_only,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,reliability_only,utility-checkpoint routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,reliability_only,utility routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Minesweeper,reliability_only,utility-checkpoint routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Minesweeper,node_feature_only,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,node_feature_only,utility-checkpoint routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,node_feature_only,utility routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Minesweeper,node_feature_only,utility-checkpoint routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Minesweeper,combined,utility routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,combined,utility-checkpoint routing - validation-selected best expert,10,0.0,0.0,0.0,0,10,0
Minesweeper,combined,utility routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
Minesweeper,combined,utility-checkpoint routing - validation-selected fixed alpha,10,0.0,0.0,0.0,0,10,0
