dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Amazon-ratings,iterative_relation_finetune,combined,3,0.4771626094977061,0.004204903736755123,0.37883337402408757,0.46665578087170917,0.010506828625996908,0.6666666666666666,0.6965581178665161,0.04096656541029612,0.04608761270840963,0.06658780574798584,0.03196041534344355,0.3762696087360382,0.36541569232940674,6.049698114395142,0.5329810678958893,0.35966551303863525,-0.09621635132434989,-0.6506712959343882,-0.5862627903077137,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_constant,3,0.48097337285677594,0.001852537367372597,0.3898538770509472,0.46665578087170917,0.014317591985066732,0.6666666666666666,0.717176099618276,0.05897353837887446,0.07046148926019669,0.09989011287689209,0.042170959214369454,0.5087785422801971,0.5535182158152262,7.6685249010721845,0.5044109125932058,0.46479971210161847,0.03161716802411692,-0.22492621054385847,nan,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,combined_shuffled,3,0.4803745448589325,0.0022682429416914134,0.379717038872256,0.46665578087170917,0.013718763987223307,0.6666666666666666,0.712773601214091,0.060626850773890816,0.06843484441439311,0.09990262985229492,0.04548290247718493,0.5654140412807465,0.5595542589823405,7.6018218994140625,0.5409982899824778,0.4593675633271535,0.07925248350341639,-0.11114817841290316,-0.09688690288956464,260997.0,166144.0,94853.0
Amazon-ratings,iterative_relation_finetune,constant_reliability,3,0.48162664969762164,0.0019913312554710842,0.39386290004110236,0.46665578087170917,0.014970868825912476,0.6666666666666666,0.718429446220398,0.060382300366957985,0.07336261123418808,0.09989917278289795,0.0461541103820006,0.551863024632136,0.5814850330352783,7.693816661834717,0.5316493312517802,0.45582345128059387,0.06479206901069391,-0.20027216521742633,nan,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,feature_only,3,0.4834231436252594,0.003467078388266397,0.3899117848744359,0.46665578087170917,0.016767362753550213,0.6666666666666666,0.7163432439168295,0.05973043292760849,0.07078780482212703,0.09990584850311279,0.0436346543331941,0.526524543762207,0.5525375107924143,7.561925888061523,0.56633992989858,0.4469802180926005,0.12167053197722894,-0.16153033424900026,nan,260997.0,156544.0,94853.0
Amazon-ratings,iterative_relation_finetune,fixed,3,0.4807556172211965,0.003772461050082034,0.3849077216526524,0.46665578087170917,0.014099836349487305,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,94853.0,0.0,94853.0
Amazon-ratings,iterative_relation_finetune,reliability_only,3,0.4878871937592824,0.0007344210331292111,0.3952851800682056,0.46665578087170917,0.021231412887573242,0.6666666666666666,0.7117851376533508,0.060522615909576416,0.06820134570201238,0.0999383529027303,0.04568981006741524,0.5459456642468771,0.558960497379303,7.406303723653157,0.5536350210507711,0.4448120991388957,-0.13971118648359504,-0.6784739770131651,-0.596744537729467,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_finetune,shuffled_reliability,3,0.4744950731595357,0.005934163782997634,0.37344185699273785,0.46665578087170917,0.007839292287826538,0.6666666666666666,0.698401133219401,0.039509562154610954,0.04549544552961985,0.06662084658940633,0.0248371126751105,0.3082713186740875,0.3611703117688497,6.1093690395355225,0.551535298426946,0.34998362759749096,0.012553479833534227,-0.17097572264828992,-0.13872796965185055,260997.0,157568.0,94853.0
Amazon-ratings,iterative_relation_frozen,combined,3,0.4699765940507253,0.006713078265478616,0.3674598209741165,0.46665578087170917,0.0033208131790161133,0.6666666666666666,0.6669811407725016,0.012325823307037354,0.011347076545159021,0.02311478058497111,0.01251647062599659,0.14911687870820364,0.09958323587973912,4.434456904729207,0.4992881615956624,0.1912488043308258,-0.37214666588755496,-0.5760399823607463,-0.5980364823499855,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,combined_constant,3,0.4691599905490875,0.00569564346837187,0.3610828345216396,0.46665578087170917,0.0025042096773783364,0.6666666666666666,0.6671299537022909,0.018451542903979618,0.017469049741824467,0.023381392161051433,0.01101879154642423,0.1405781110127767,0.12163616220156352,4.740822394688924,0.5252973337968191,0.2278898557027181,-0.3584636651613562,-0.26021481821068415,nan,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,combined_shuffled,3,0.47062987089157104,0.005347835469624921,0.3672275849028686,0.46665578087170917,0.003974090019861857,0.6666666666666666,0.6671602328618368,0.017972329631447792,0.017003223299980164,0.028611997763315838,0.016433406621217728,0.19977203011512756,0.1418930689493815,4.959162473678589,0.5078201691309611,0.2148305376370748,-0.16773386898104958,-0.20095710570475422,-0.45642088934012953,166144.0,166144.0,0.0
Amazon-ratings,iterative_relation_frozen,constant_reliability,3,0.470085471868515,0.005407354915017245,0.36596647090095674,0.46665578087170917,0.0034296909968058267,0.6666666666666666,0.6668041547139486,0.016308734193444252,0.01508368675907453,0.028585563103357952,0.01609479325513045,0.195243368546168,0.12084435919920604,4.411707878112793,0.5070081452528635,0.2005871186653773,-0.25367415608273447,-0.33444528430140846,nan,166144.0,157568.0,0.0
